そう	ソー	ソウ	そう	副詞	*	*	*	*	*	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-C
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-C
、	*	*	、	補助記号	読点	*	*	*	*	O
逆	ギャク	ギャク	逆	名詞	普通名詞	形状詞可能	*	*	*	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	O
私	ワタクシ	ワタクシ	私-代名詞	代名詞	*	*	*	*	*	O
小説	ショーセツ	ショウセツ	小説	名詞	普通名詞	一般	*	*	*	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	O
に	ニ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-ニ	O
なっ	ナッ	ナル	成る	動詞	非自立可能	*	*	五段-ラ行	連用形-促音便	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	O
か	カ	カ	か	助詞	副助詞	*	*	*	*	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	O
しれ	シレ	シレル	知れる	動詞	一般	*	*	下一段-ラ行	未然形-一般	O
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	O

ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	B-FAM
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	I-FAM
、	*	*	、	補助記号	読点	*	*	*	*	O
日本	ニッポン	ニッポン	日本	名詞	固有名詞	地名	国	*	*	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	O
、	*	*	、	補助記号	読点	*	*	*	*	O
たとえば	タトエバ	タトエバ	例えば	副詞	*	*	*	*	*	O
、	*	*	、	補助記号	読点	*	*	*	*	O
戦前	センゼン	センゼン	戦前	名詞	普通名詞	副詞可能	*	*	*	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	O
代表	ダイヒョー	ダイヒョウ	代表	名詞	普通名詞	サ変可能	*	*	*	O
的	テキ	テキ	的	接尾辞	形状詞的	*	*	*	*	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	O
作家	サッカ	サッカ	作家	名詞	普通名詞	一般	*	*	*	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	O
志賀	シガ	シガ	シガ	名詞	固有名詞	人名	姓	*	*	O
直哉	ナオヤ	ナオヤ	ナオヤ	名詞	固有名詞	人名	名	*	*	O
さん	サン	サン	さん	接尾辞	名詞的	一般	*	*	*	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	O
、	*	*	、	補助記号	読点	*	*	*	*	O
僕	ボク	ボク	僕	代名詞	*	*	*	*	*	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	O
大好き	ダイスキ	ダイスキ	大好き	形状詞	一般	*	*	*	*	O
です	デス	デス	です	助動詞	*	*	*	助動詞-デス	終止形-一般	O
けれど	ケレド	ケレド	けれど	助詞	接続助詞	*	*	*	*	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	O
、	*	*	、	補助記号	読点	*	*	*	*	O
「	*	*	「	補助記号	括弧開	*	*	*	*	O
ある	アル	アル	或る	連体詞	*	*	*	*	*	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	O
以外	イガイ	イガイ	以外	名詞	普通名詞	副詞可能	*	*	*	O
