芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	-7	O	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	-6	O	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	-5	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-4	O	O
所定	ショテー	ショテイ	所定	名詞	普通名詞	一般	*	*	*	2	-3	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-2	O	O
防災	ボーサイ	ボウサイ	防災	名詞	普通名詞	一般	*	*	*	2	-1	O	O
計画	ケーカク	ケイカク	計画	名詞	普通名詞	サ変可能	*	*	*	2	0	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-C	B-C
従い	シタガイ	シタガウ	従う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	2	I-C	I-C
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	4	O	O
立	リツ	リツ	立	接尾辞	名詞的	一般	*	*	*	2	5	O	O
小	ショー	ショウ	小	接頭辞	*	*	*	*	*	2	6	O	O
・	*	*	・	補助記号	一般	*	*	*	*	2	7	O	O
中	チュー	チュウ	中	接頭辞	*	*	*	*	*	2	8	O	O
学校	ガッコー	ガッコウ	学校	名詞	普通名詞	一般	*	*	*	2	9	O	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	2	10	O	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	11	O	O
校	コー	コウ	校	接尾辞	名詞的	一般	*	*	*	2	12	O	O
全部	ゼンブ	ゼンブ	全部	名詞	普通名詞	副詞可能	*	*	*	2	13	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	14	O	O
避難	ヒナン	ヒナン	避難	名詞	普通名詞	サ変可能	*	*	*	2	15	O	O
所	ショ	ショ	所	接尾辞	名詞的	一般	*	*	*	2	16	O	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	17	O	O
早変わり	ハヤガワリ	ハヤガワリ	早変わり	名詞	普通名詞	一般	*	*	*	2	18	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	19	O	O
、	*	*	、	補助記号	読点	*	*	*	*	2	20	O	O
全	ゼン	ゼン	全	接頭辞	*	*	*	*	*	2	21	O	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	22	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	23	O	O
避難	ヒナン	ヒナン	避難	名詞	普通名詞	サ変可能	*	*	*	2	24	O	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	2	25	O	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	26	O	O
半数	ハンスー	ハンスウ	半数	名詞	普通名詞	一般	*	*	*	2	27	O	O
余	アマリ	アマリ	余り	名詞	普通名詞	副詞可能	*	*	*	2	28	O	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	29	O	O
受け入れ	ウケイレ	ウケイレル	受け入れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	2	30	O	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	31	O	O
き	キ	クル	来る	動詞	非自立可能	*	*	カ行変格	連用形-一般	2	32	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	33	O	O
。	*	*	。	補助記号	句点	*	*	*	*	2	34	O	O

中波	チューハ	チュウハ	中波	名詞	普通名詞	一般	*	*	*	2	-7	O	O
ラジオ	ラジオ	ラジオ	ラジオ-radio	名詞	普通名詞	一般	*	*	*	2	-6	O	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-5	O	O
ＡＭ	エーエム	エーエム	ＡＭ	名詞	普通名詞	一般	*	*	*	2	-4	O	O
ステレオ	ステレオ	ステレオ	ステレオ-stereo	名詞	普通名詞	一般	*	*	*	2	-3	O	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	2	-2	O	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-1	O	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	1	B-M	B-M
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	2	I-M	I-M
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O	O
