芦屋	アシヤ	アシヤ	アシヤ	名詞	固有名詞	地名	一般	*	*	2	-8	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	-7	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	2	-6	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	-5	O
、	*	*	、	補助記号	読点	*	*	*	*	2	-4	O
所定	ショテー	ショテイ	所定	名詞	普通名詞	一般	*	*	*	2	-3	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	-2	O
防災	ボーサイ	ボウサイ	防災	名詞	普通名詞	一般	*	*	*	2	-1	O
計画	ケーカク	ケイカク	計画	名詞	普通名詞	サ変可能	*	*	*	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-C
従い	シタガイ	シタガウ	従う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	2	I-C
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	4	O
立	リツ	リツ	立	接尾辞	名詞的	一般	*	*	*	2	5	O
小	ショー	ショウ	小	接頭辞	*	*	*	*	*	2	6	O
・	*	*	・	補助記号	一般	*	*	*	*	2	7	O
中	チュー	チュウ	中	接頭辞	*	*	*	*	*	2	8	O
学校	ガッコー	ガッコウ	学校	名詞	普通名詞	一般	*	*	*	2	9	O
十	ジュー	ジュウ	十	名詞	数詞	*	*	*	*	2	10	O
二	ニ	ニ	二	名詞	数詞	*	*	*	*	2	11	O
校	コー	コウ	校	接尾辞	名詞的	一般	*	*	*	2	12	O
全部	ゼンブ	ゼンブ	全部	名詞	普通名詞	副詞可能	*	*	*	2	13	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	14	O
避難	ヒナン	ヒナン	避難	名詞	普通名詞	サ変可能	*	*	*	2	15	O
所	ショ	ショ	所	接尾辞	名詞的	一般	*	*	*	2	16	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	17	O
早変わり	ハヤガワリ	ハヤガワリ	早変わり	名詞	普通名詞	一般	*	*	*	2	18	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	19	O
、	*	*	、	補助記号	読点	*	*	*	*	2	20	O
全	ゼン	ゼン	全	接頭辞	*	*	*	*	*	2	21	O
市	シ	シ	市	名詞	普通名詞	一般	*	*	*	2	22	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	23	O
避難	ヒナン	ヒナン	避難	名詞	普通名詞	サ変可能	*	*	*	2	24	O
者	シャ	シャ	者	接尾辞	名詞的	一般	*	*	*	2	25	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	26	O
半数	ハンスー	ハンスウ	半数	名詞	普通名詞	一般	*	*	*	2	27	O
余	アマリ	アマリ	余り	名詞	普通名詞	副詞可能	*	*	*	2	28	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	29	O
受け入れ	ウケイレ	ウケイレル	受け入れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	2	30	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	2	31	O
き	キ	クル	来る	動詞	非自立可能	*	*	カ行変格	連用形-一般	2	32	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	33	O
。	*	*	。	補助記号	句点	*	*	*	*	2	34	O

中波	チューハ	チュウハ	中波	名詞	普通名詞	一般	*	*	*	2	-7	O
ラジオ	ラジオ	ラジオ	ラジオ-radio	名詞	普通名詞	一般	*	*	*	2	-6	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	-5	O
ＡＭ	エーエム	エーエム	ＡＭ	名詞	普通名詞	一般	*	*	*	2	-4	O
ステレオ	ステレオ	ステレオ	ステレオ-stereo	名詞	普通名詞	一般	*	*	*	2	-3	O
化	カ	カ	化	接尾辞	名詞的	サ変可能	*	*	*	2	-2	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	2	-1	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	連体形-一般	2	0	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	2	1	B-M
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	2	I-M
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
ドラマ	ドラマ	ドラマ	ドラマ-drama	名詞	普通名詞	一般	*	*	*	2	4	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O
新しい	アタラシー	アタラシイ	新しい	形容詞	一般	*	*	形容詞	連体形-一般	2	6	O
可能	カノー	カノウ	可能	形状詞	一般	*	*	*	*	2	7	O
性	セー	セイ	性	接尾辞	名詞的	一般	*	*	*	2	8	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	2	9	O
開け	アケ	アケル	開ける	動詞	一般	*	*	下一段-カ行	連用形-一般	2	10	O
た	タ	タ	た	助動詞	*	*	*	助動詞-タ	終止形-一般	2	11	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	12	O
も	モ	モ	も	助詞	係助詞	*	*	*	*	2	13	O
言う	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	終止形-一般	2	14	O
。	*	*	。	補助記号	句点	*	*	*	*	2	15	O

自習	ジシュー	ジシュウ	自習	名詞	普通名詞	サ変可能	*	*	*	4	-2	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-1	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F
いけ	イケ	イク	行く	動詞	非自立可能	*	*	下一段-カ行	未然形-一般	4	3	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	4	4	I-F
。	*	*	。	補助記号	句点	*	*	*	*	4	5	O

機関	キカン	キカン	機関	名詞	普通名詞	一般	*	*	*	3	-4	O
誌	シ	シ	誌	接尾辞	名詞的	一般	*	*	*	3	-3	O
づくり	ズクリ	ツクリ	作り	名詞	普通名詞	一般	*	*	*	3	-2	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	3	-1	O
編集	ヘンシュー	ヘンシュウ	編集	名詞	普通名詞	サ変可能	*	*	*	3	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	1	B-F
あたっ	アタッ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-促音便	3	2	I-F
て	テ	テ	て	助詞	接続助詞	*	*	*	*	3	3	I-F
、	*	*	、	補助記号	読点	*	*	*	*	3	4	O
どんな	ドンナ	ドンナ	どんな	連体詞	*	*	*	*	*	3	5	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	3	6	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	3	7	O
留意	リューイ	リュウイ	留意	名詞	普通名詞	サ変可能	*	*	*	3	8	O
すれ	スレ	スル	為る	動詞	非自立可能	*	*	サ行変格	仮定形-一般	3	9	O
ば	バ	バ	ば	助詞	接続助詞	*	*	*	*	3	10	O
いい	イー	ヨイ	良い	形容詞	非自立可能	*	*	形容詞	終止形-一般	3	11	O
か	カ	カ	か	助詞	終助詞	*	*	*	*	3	12	O
。	*	*	。	補助記号	句点	*	*	*	*	3	13	O

今	イマ	イマ	今	名詞	普通名詞	副詞可能	*	*	*	2	-7	O
（	*	*	（	補助記号	括弧開	*	*	*	*	2	-6	O
参謀	サンボー	サンボウ	参謀	名詞	普通名詞	一般	*	*	*	2	-5	O
総長	ソーチョー	ソウチョウ	総長	名詞	普通名詞	一般	*	*	*	2	-4	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	-3	O
）	*	*	）	補助記号	括弧閉	*	*	*	*	2	-2	O
解任	カイニン	カイニン	解任	名詞	普通名詞	サ変可能	*	*	*	2	-1	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	終止形-一般	2	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	1	B-F
あたり	アタリ	アタル	当たる	動詞	一般	*	*	五段-ラ行	連用形-一般	2	2	I-F
、	*	*	、	補助記号	読点	*	*	*	*	2	3	O
ここ	ココ	ココ	此処	代名詞	*	*	*	*	*	2	4	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	2	5	O
あなた	アナタ	アナタ	貴方	代名詞	*	*	*	*	*	2	6	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	7	O
功績	コーセキ	コウセキ	功績	名詞	普通名詞	一般	*	*	*	2	8	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	9	O
勤労	キンロー	キンロウ	勤労	名詞	普通名詞	サ変可能	*	*	*	2	10	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	2	11	O
思い	オモイ	オモウ	思う	動詞	一般	*	*	五段-ワア行	連用形-一般	2	12	O
、	*	*	、	補助記号	読点	*	*	*	*	2	13	O
私	ワタクシ	ワタクシ	私-代名詞	代名詞	*	*	*	*	*	2	14	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	2	15	O
深い	フカイ	フカイ	深い	形容詞	一般	*	*	形容詞	連体形-一般	2	16	O
喜び	ヨロコビ	ヨロコビ	喜び	名詞	普通名詞	一般	*	*	*	2	17	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	2	18	O
する	スル	スル	為る	動詞	非自立可能	*	*	サ行変格	連体形-一般	2	19	O
ところ	トコロ	トコロ	所	名詞	普通名詞	副詞可能	*	*	*	2	20	O
で	デ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-一般	2	21	O
ある	アル	アル	有る	動詞	非自立可能	*	*	五段-ラ行	終止形-一般	2	22	O
。	*	*	。	補助記号	句点	*	*	*	*	2	23	O

それ	ソレ	ソレ	其れ	代名詞	*	*	*	*	*	4	0	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	1	B-B
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	2	I-B
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	3	I-B
も	モ	モ	も	助詞	係助詞	*	*	*	*	4	4	I-B
不思議	フシギ	フシギ	不思議	名詞	普通名詞	形状詞可能	*	*	*	4	5	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	4	6	O
の	ノ	ノ	の	助詞	準体助詞	*	*	*	*	4	7	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	8	O
、	*	*	、	補助記号	読点	*	*	*	*	4	9	O
出社	シュッシャ	シュッシャ	出社	名詞	普通名詞	サ変可能	*	*	*	4	10	O
し	シ	スル	為る	動詞	非自立可能	*	*	サ行変格	連用形-一般	4	11	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	12	O
仕事	シゴト	シゴト	仕事	名詞	普通名詞	サ変可能	*	*	*	4	13	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	14	O
始める	ハジメル	ハジメル	始める	動詞	非自立可能	*	*	下一段-マ行	終止形-一般	4	15	O
と	ト	ト	と	助詞	接続助詞	*	*	*	*	4	16	O
「	*	*	「	補助記号	括弧開	*	*	*	*	4	17	O
禁断	キンダン	キンダン	禁断	名詞	普通名詞	サ変可能	*	*	*	4	18	O
症状	ショージョー	ショウジョウ	症状	名詞	普通名詞	一般	*	*	*	4	19	O
」	*	*	」	補助記号	括弧閉	*	*	*	*	4	20	O
が	ガ	ガ	が	助詞	格助詞	*	*	*	*	4	21	O
現れる	アラワレル	アラワレル	現われる	動詞	一般	*	*	下一段-ラ行	連体形-一般	4	22	O
こと	コト	コト	事	名詞	普通名詞	一般	*	*	*	4	23	O
だ	ダ	ダ	だ	助動詞	*	*	*	助動詞-ダ	終止形-一般	4	24	O
。	*	*	。	補助記号	句点	*	*	*	*	4	25	O

一方	イッポー	イッポウ	一方	接続詞	*	*	*	*	*	4	-36	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-35	O
小沢	オザワ	オザワ	オザワ	名詞	固有名詞	人名	姓	*	*	4	-34	O
氏	シ	シ	氏	接尾辞	名詞的	一般	*	*	*	4	-33	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-32	O
会見	カイケン	カイケン	会見	名詞	普通名詞	サ変可能	*	*	*	4	-31	O
で	デ	デ	で	助詞	格助詞	*	*	*	*	4	-30	O
「	*	*	「	補助記号	括弧開	*	*	*	*	4	-29	O
法	ホー	ホウ	法	名詞	普通名詞	一般	*	*	*	4	-28	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-27	O
触れ	フレ	フレル	触れる	動詞	一般	*	*	下一段-ラ行	連用形-一般	4	-26	O
たり	タリ	タリ	たり	助詞	副助詞	*	*	*	*	4	-25	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-24	O
批判	ヒハン	ヒハン	批判	名詞	普通名詞	サ変可能	*	*	*	4	-23	O
さ	サ	スル	為る	動詞	非自立可能	*	*	サ行変格	未然形-サ	4	-22	O
れる	レル	レル	れる	助動詞	*	*	*	助動詞-レル	連体形-一般	4	-21	O
よう	ヨー	ヨウ	様	形状詞	助動詞語幹	*	*	*	*	4	-20	O
な	ナ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連体形-一般	4	-19	O
事実	ジジツ	ジジツ	事実	名詞	普通名詞	副詞可能	*	*	*	4	-18	O
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	-17	O
ない	ナイ	ナイ	無い	形容詞	非自立可能	*	*	形容詞	終止形-一般	4	-16	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	-15	O
信じ	シンジ	シンズル	信ずる	動詞	一般	*	*	サ行変格	連用形-一般	4	-14	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	-13	O
いる	イル	イル	居る	動詞	非自立可能	*	*	上一段-ア行	終止形-一般	4	-12	O
が	ガ	ガ	が	助詞	接続助詞	*	*	*	*	4	-11	O
、	*	*	、	補助記号	読点	*	*	*	*	4	-10	O
彼	カレ	カレ	彼	代名詞	*	*	*	*	*	4	-9	O
から	カラ	カラ	から	助詞	格助詞	*	*	*	*	4	-8	O
の	ノ	ノ	の	助詞	格助詞	*	*	*	*	4	-7	O
申し出で	モーシイデ	モウシイデ	申し出で	名詞	普通名詞	一般	*	*	*	4	-6	O
『	*	*	『	補助記号	括弧開	*	*	*	*	4	-5	O
党	トー	トウ	党	名詞	普通名詞	一般	*	*	*	4	-4	O
に	ニ	ニ	に	助詞	格助詞	*	*	*	*	4	-3	O
迷惑	メーワク	メイワク	迷惑	名詞	普通名詞	サ変形状詞可能	*	*	*	4	-2	O
を	オ	ヲ	を	助詞	格助詞	*	*	*	*	4	-1	O
かけ	カケ	カケル	掛ける	動詞	非自立可能	*	*	下一段-カ行	連用形-一般	4	0	O
て	テ	テ	て	助詞	接続助詞	*	*	*	*	4	1	B-F
は	ワ	ハ	は	助詞	係助詞	*	*	*	*	4	2	I-F
いけ	イケ	イク	行く	動詞	非自立可能	*	*	下一段-カ行	未然形-一般	4	3	I-F
ない	ナイ	ナイ	ない	助動詞	*	*	*	助動詞-ナイ	終止形-一般	4	4	I-F
』	*	*	』	補助記号	括弧閉	*	*	*	*	4	5	O
と	ト	ト	と	助詞	格助詞	*	*	*	*	4	6	O
いう	ユー	イウ	言う	動詞	一般	*	*	五段-ワア行	連体形-一般	4	7	O
話	ハナシ	ハナシ	話	名詞	普通名詞	サ変可能	*	*	*	4	8	O
だっ	ダッ	ダ	だ	助動詞	*	*	*	助動詞-ダ	連用形-促音便	4	9	O
